network,line_number,passbi_gtfs,passbi_gtfs_trips,passbi_gtfs_stops,official_2026,dakar_bus,dakar_bus_id,dakar_bus_stops,dakar_bus_data_status,dakar_bus_schedule_status,status_passbi_vs_dakar_bus,detail_passbi_vs_dakar_bus,status_passbi_vs_official,detail_passbi_vs_official,status_official_vs_dakar_bus,stops_comparison,schedule_comparison
DDD,319,DDD_319 [D319SL] DDD_319_OUAKAM_SICAP-LIBERTE-6 — dir0: Rond-Point Liberte 6 → Terminus 7218 219 / dir1: Terminus 7218 219 → Rond-Point Liberte 6,288,45,LIBERTÉ 6 <--> OUAKAM,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MATCH,numéro identique et 2/2 terminus concordants (libellés),MISSING_IN_DAKAR_BUS,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
DDD,323,DDD_323 [D323PT] DDD_323_GUEULE-TAPEE_PARCELLE-ASSAINIE — dir0:  →  / dir1:  → ,288,0,,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MISSING_IN_OFFICIAL_LIST,numéro présent dans le flux PassBi (2022-2023) mais absent de la liste officielle 2026-09-25,UNKNOWN,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
DDD,327,,,,KEUR MASSAR <--> TERMINUS PARCELLES,,,,,,UNKNOWN,numéro seulement dans la liste officielle,MISSING_IN_SOURCE,numéro officiel 2026 absent du flux PassBi (2022-2023),MISSING_IN_DAKAR_BUS,,aucun horaire source ; Dakar Bus: 
DDD,401,DDD_401 [D401AO] DDD_401_AIBD_OUAKAM — dir0: Terminus Diamniadio → Terminus 7218 219 / dir1: Terminus 7218 219 → Terminus Diamniadio,58,51,,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MISSING_IN_OFFICIAL_LIST,numéro présent dans le flux PassBi (2022-2023) mais absent de la liste officielle 2026-09-25,UNKNOWN,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
DDD,402,DDD_402 [D402AT] DDD_402_AIBD_THIAROYE — dir0: Terminus Diamniadio → Terminus Poste Thiaroye / dir1: Terminus Poste Thiaroye → Terminus Diamniadio,147,52,,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MISSING_IN_OFFICIAL_LIST,numéro présent dans le flux PassBi (2022-2023) mais absent de la liste officielle 2026-09-25,UNKNOWN,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
DDD,403,DDD_403 [D403AP] DDD_403_AIBD_PARCELLES-ASSAINIES — dir0: Terminus Diamniadio → Terminus Parcelles Assaines / dir1: Terminus Parcelles Assaines → Terminus Diamniadio,69,57,,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MISSING_IN_OFFICIAL_LIST,numéro présent dans le flux PassBi (2022-2023) mais absent de la liste officielle 2026-09-25,UNKNOWN,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
DDD,404,DDD_404 [D404AL] DDD_404_AIBD_LECLERC — dir0: Aibd → Terminus Leclerc / dir1: Terminus Leclerc → Aibd,88,8,,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MISSING_IN_OFFICIAL_LIST,numéro présent dans le flux PassBi (2022-2023) mais absent de la liste officielle 2026-09-25,UNKNOWN,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
DDD,405,DDD_405 [D405AD] DDD_405_AIBD_DIEUPPEUL — dir0: Terminus Diamniadio → Terminus Liberté 5 / dir1: Terminus Liberté 5 → Terminus Diamniadio,90,33,,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MISSING_IN_OFFICIAL_LIST,numéro présent dans le flux PassBi (2022-2023) mais absent de la liste officielle 2026-09-25,UNKNOWN,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
DDD,501,DDD_501 [D501GP] DDD_501_GARE-DE-DAKAR_PALAIS-2 — dir0: Port De Dakar → Terminus Palais 2 / dir1: Terminus Palais 2 → Port De Dakar,300,16,GARE DE DAKAR ↔ PALAIS 2,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MATCH,numéro identique et 2/2 terminus concordants (libellés),MISSING_IN_DAKAR_BUS,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
DDD,502,DDD_502 [D502CU] DDD_502_COLOBANE-UCAD-COLOBANE — dir0: Gare Ter Hlm → Terrain Colobane,52,15,GARE DE GARE <--> GARE DE GARE,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MATCH,numéro identique et 2/2 terminus concordants (libellés),MISSING_IN_DAKAR_BUS,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
DDD,502A,,,,COLOBANE ↔ UCAD,,,,,,UNKNOWN,numéro seulement dans la liste officielle,MISSING_IN_SOURCE,numéro officiel 2026 absent du flux PassBi (2022-2023) ; le flux contient le numéro de base 502 sans suffixe — correspondance UNKNOWN,MISSING_IN_DAKAR_BUS,,aucun horaire source ; Dakar Bus: 
DDD,502B,,,,COLOBANE ↔ ABASS NDAO,,,,,,UNKNOWN,numéro seulement dans la liste officielle,MISSING_IN_SOURCE,numéro officiel 2026 absent du flux PassBi (2022-2023) ; le flux contient le numéro de base 502 sans suffixe — correspondance UNKNOWN,MISSING_IN_DAKAR_BUS,,aucun horaire source ; Dakar Bus: 
DDD,503,DDD_503 [D503CB] DDD_503_COLOBANE-BELAIR-COLOBANE — dir1: Gare Ter Hlm → Scoa,52,8,GARE DE GARE <--> GARE DE GARE,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MATCH,numéro identique et 2/2 terminus concordants (libellés),MISSING_IN_DAKAR_BUS,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
DDD,503A,,,,COLOBANE ↔ MOLE 8,,,,,,UNKNOWN,numéro seulement dans la liste officielle,MISSING_IN_SOURCE,numéro officiel 2026 absent du flux PassBi (2022-2023) ; le flux contient le numéro de base 503 sans suffixe — correspondance UNKNOWN,MISSING_IN_DAKAR_BUS,,aucun horaire source ; Dakar Bus: 
DDD,503B,,,,COLOBANE ↔ HYDROCARBURE,,,,,,UNKNOWN,numéro seulement dans la liste officielle,MISSING_IN_SOURCE,numéro officiel 2026 absent du flux PassBi (2022-2023) ; le flux contient le numéro de base 503 sans suffixe — correspondance UNKNOWN,MISSING_IN_DAKAR_BUS,,aucun horaire source ; Dakar Bus: 
DDD,504,DDD_504 [D504DS] DDD_504_GARE-DE-DIAMNIADIO_SPHERE MINISTERIELLE — dir0: Gare Ter De Diamniadio → Institut De Recherche En Santé / dir1: Institut De Recherche En Santé → Gare Ter De Diamniadio,300,8,,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MISSING_IN_OFFICIAL_LIST,"numéro présent dans le flux PassBi (2022-2023) mais absent de la liste officielle 2026-09-25 ; la liste officielle publie les variantes 504A, 504B — correspondance UNKNOWN",UNKNOWN,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
DDD,504A,,,,GARE DIAMNIADIO ↔ SPHERE MINISTERIEL,,,,,,UNKNOWN,numéro seulement dans la liste officielle,MISSING_IN_SOURCE,numéro officiel 2026 absent du flux PassBi (2022-2023) ; le flux contient le numéro de base 504 sans suffixe — correspondance UNKNOWN,MISSING_IN_DAKAR_BUS,,aucun horaire source ; Dakar Bus: 
DDD,504B,,,,SEBIKOTANE ↔ GARE DIAMNIADIO,,,,,,UNKNOWN,numéro seulement dans la liste officielle,MISSING_IN_SOURCE,numéro officiel 2026 absent du flux PassBi (2022-2023) ; le flux contient le numéro de base 504 sans suffixe — correspondance UNKNOWN,MISSING_IN_DAKAR_BUS,,aucun horaire source ; Dakar Bus: 
DDD,TAF,,,,TAF TAF : OUAKAM ↔ AIBD,,,,,,UNKNOWN,numéro seulement dans la liste officielle,MISSING_IN_SOURCE,numéro officiel 2026 absent du flux PassBi (2022-2023),MISSING_IN_DAKAR_BUS,,aucun horaire source ; Dakar Bus: 
DDD,TAF TAF,,,,OUAKAM ↔ AIBD / SPHÈRE MINISTÉRIELLE (Diamniadio),,,,,,UNKNOWN,numéro seulement dans la liste officielle,MISSING_IN_SOURCE,numéro officiel 2026 absent du flux PassBi (2022-2023),MISSING_IN_DAKAR_BUS,,aucun horaire source ; Dakar Bus: 
DDD,TO1,,,,TAF TAF OUAKAM (TO1) : OUAKAM <--> PALAIS 2,,,,,,UNKNOWN,numéro seulement dans la liste officielle,MISSING_IN_SOURCE,numéro officiel 2026 absent du flux PassBi (2022-2023),MISSING_IN_DAKAR_BUS,,aucun horaire source ; Dakar Bus: 
