network,line_number,passbi_gtfs,passbi_gtfs_trips,passbi_gtfs_stops,official_2026,dakar_bus,dakar_bus_id,dakar_bus_stops,dakar_bus_data_status,dakar_bus_schedule_status,status_passbi_vs_dakar_bus,detail_passbi_vs_dakar_bus,status_passbi_vs_official,detail_passbi_vs_official,status_official_vs_dakar_bus,stops_comparison,schedule_comparison
AFTU,48,AFTU_48 [A48LR] AFTU_48_Lat Dior_Rufisque — dir0: Terminus 48 → Garage Lat Dior / dir1: Lat Dior → Terminus 48,238,101,CITE SERIGNE MANSOUR - LAT DIOR,Ouakam ↔ Ngor (AFTU Ligne 48),aftu_48,3,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MISMATCH,numéro identique mais 1/2 terminus concordant(s) seulement,MISMATCH,"flux 101 arrêts géolocalisés vs Dakar Bus 3 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,49,AFTU_49 [A49GN] AFTU_49_Gadaye_Ngor — dir0: Garage Ngor → Terminus 30 49 / dir1: Terminus 30 49 → Garage Ngor,147,179,GADAYE - NGOR,Médina ↔ UCAD (AFTU Ligne 49),aftu_49,3,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MATCH,numéro identique et 2/2 terminus concordants (libellés),MISMATCH,"flux 179 arrêts géolocalisés vs Dakar Bus 3 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,50,AFTU_50 [A50MP] AFTU_50_Malicka_Petersen — dir0: Petersen 2 → Terminus 37 50 / dir1: Terminus 37 50 → Petersen 2,135,108,PETERSEN - MALIKA CIMETIERE,Yeumbeul ↔ Médina (AFTU Ligne 50),aftu_50,4,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MATCH,numéro identique et 2/2 terminus concordants (libellés),MISMATCH,"flux 108 arrêts géolocalisés vs Dakar Bus 4 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,51,AFTU_51 [A51BJ] AFTU_51_Baux Maraichers_Jaxaay — dir0: Terminus Pénitence → Gare Des Baux MaraîChers / dir1: Gare Des Baux MaraîChers → Terminus Pénitence,157,142,JAXAAY - GARE DES BAUX MARAICHERS,Scat Urbam ↔ PEM Guédiawaye (AFTU Ligne 51),aftu_51,3,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MATCH,numéro identique et 2/2 terminus concordants (libellés),MISMATCH,"flux 142 arrêts géolocalisés vs Dakar Bus 3 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,52,AFTU_52 [A52BJ] AFTU_52_Baux Maraichers_Jaxaay — dir0:  →  / dir1:  → ,190,0,BOUNTOU PIKINE - KEUR MASSAR,Ngor ↔ Sandaga via Ouakam (AFTU Ligne 52),aftu_52,5,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MISMATCH,"flux 0 arrêts géolocalisés vs Dakar Bus 5 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,53,AFTU_53 [A53KS] AFTU_53_KEUR MASSAR_Sebikotane — dir0:  →  / dir1: Terminus 54 → Terminus 53,176,87,KEUR MASSAR - SEBIKOTANE,Almadies ↔ Bené Barak (AFTU Ligne 53),aftu_53,5,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MATCH,numéro identique et 2/2 terminus concordants (libellés),MISMATCH,"flux 87 arrêts géolocalisés vs Dakar Bus 5 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,54,AFTU_54 [A54MU] AFTU_54_M T O A_UCAD — dir0: Terminus 37 71 → Terminus 54 Pres De La Pharmacie Pascal / dir1: Terminus 54 Pres De La Pharmacie Pascal → Terminus 37 71,199,122,TERMINUS KEUR MASSAR (CITE MTOA) - UCAD,Thiaroye ↔ Hann (AFTU Ligne 54),aftu_54,3,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MISMATCH,numéro identique mais 1/2 terminus concordant(s) seulement,MISMATCH,"flux 122 arrêts géolocalisés vs Dakar Bus 3 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,55,AFTU_55 [A55PR] AFTU_55_Petersen_Rufisque — dir0: Terminus 55 → Petersen 2 / dir1: Petersen 2 → Terminus 55,188,82,TERMINUS RUFISQUE SONADIS - PETERSEN,Pikine ↔ Castor (AFTU Ligne 55),aftu_55,4,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MATCH,numéro identique et 2/2 terminus concordants (libellés),MISMATCH,"flux 82 arrêts géolocalisés vs Dakar Bus 4 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,56,AFTU_56 [A56JP] AFTU_56_Jaxaaye_Petersen — dir0: Petersen 2 → Arrêt Pa Thiaw / dir1: Arrêt Pa Thiaw → Petersen 2,170,85,JAXAAY 2 - PETERSEN,Scat Urbam ↔ Place de l'Obélisque (AFTU Ligne 56),aftu_56,4,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MATCH,numéro identique et 2/2 terminus concordants (libellés),MISMATCH,"flux 85 arrêts géolocalisés vs Dakar Bus 4 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,57,AFTU_57 [A57LR] AFTU_57_LIBERTE 5_Rufisque Gouye Mouride — dir0:  →  / dir1: Terminus 57 → Terminus 57,172,54,LIBERTE 6 - RUFISQUE,Grand Médine ↔ Hôpital Dalal Jamm (AFTU Ligne 57),aftu_57,4,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MATCH,numéro identique et 2/2 terminus concordants (libellés),MISMATCH,"flux 54 arrêts géolocalisés vs Dakar Bus 4 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,58,AFTU_58 [A58CS] AFTU_58_Comico_Sahm — dir0: Sham Terminus 38 45 58 → Terminus 43 Yeumbeul Nord / dir1: Terminus 43 Yeumbeul Nord → Sham Terminus 38 45 58,171,88,SAHM - COMICO,Mermoz ↔ Gare TER Dakar (AFTU Ligne 58),aftu_58,3,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MATCH,numéro identique et 2/2 terminus concordants (libellés),MISMATCH,"flux 88 arrêts géolocalisés vs Dakar Bus 3 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,59,AFTU_59 [A59cD] AFTU_59_cite gendarmerie_Diamalaye — dir0: Terminus 59 Cité Assemblée 2 → Yoff / dir1: Yoff → Terminus 59 Cité Assemblée 2,162,219,DIAMALAYE - CITÉ GENDARMERIE (Jaxaay),Gare TER Dakar ↔ Gare Maritime (AFTU Ligne 59),aftu_59,5,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MATCH,numéro identique et 2/2 terminus concordants (libellés),MISMATCH,"flux 219 arrêts géolocalisés vs Dakar Bus 5 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,60,AFTU_60 [A60bC] AFTU_60_bargny_Colobane — dir0: Colobane → En Face Angle Baye Laye / dir1: Diouma Ndal Dalli → Colobane,183,90,COLOBANE - BARGNY,Almadies ↔ Petersen (AFTU Ligne 60),aftu_60,4,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MATCH,numéro identique et 2/2 terminus concordants (libellés),MISMATCH,"flux 90 arrêts géolocalisés vs Dakar Bus 4 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,61,AFTU_61 [A61Km] AFTU_61_KEUR MASSAR_mamelles — dir0: Terminus 61 → Keur Massar Terminus 61 / dir1: Keur Massar Terminus 61 → Terminus 61,180,125,ALMADIES - KEUR MASSAR,PEM Guédiawaye ↔ Yoff (AFTU Ligne 61),aftu_61,5,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MISMATCH,numéro identique mais 1/2 terminus concordant(s) seulement,MISMATCH,"flux 125 arrêts géolocalisés vs Dakar Bus 5 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,62,AFTU_62 [A62gy] AFTU_62_gueule tapee_youssou mbergane — dir0: Terminus 62 (Rufisque Nord) → Gueule Tapée Rue Gt-49 / dir1: Penc-Mi Boulevard Gueule Tapée → Arrêt Chérif (Rufisque Nord),139,164,ARRET CHERIF (RUFISQUE) - PENC MI (GUEULE TAPEE),Hann ↔ PEM Guédiawaye (AFTU Ligne 62),aftu_62,5,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MATCH,numéro identique et 2/2 terminus concordants (libellés),MISMATCH,"flux 164 arrêts géolocalisés vs Dakar Bus 5 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,63,AFTU_63 [A63SR] AFTU_63_Stade-Amitié_Rufisque — dir0: Terminus 63 → Léopold Sédar Senghor / dir1: Léopold Sédar Senghor → Terminus 63,117,144,TERMINUS CAMP MARCHAND RUFISQUE - STADE LSS,Scat Urbam ↔ Point E (AFTU Ligne 63),aftu_63,5,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MATCH,numéro identique et 2/2 terminus concordants (libellés),MISMATCH,"flux 144 arrêts géolocalisés vs Dakar Bus 5 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,64,AFTU_64 [A64dg] AFTU_64_diamniadio_guediawaye — dir0: Terminus 24 64 → Terminus 64 / dir1: Terminus 64 → Terminus 24 64,166,159,GUEDIAWAYE - RUFISQUE,Castor ↔ Sacré-Cœur (AFTU Ligne 64),aftu_64,5,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MISMATCH,numéro identique mais 1/2 terminus concordant(s) seulement,MISMATCH,"flux 159 arrêts géolocalisés vs Dakar Bus 5 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,65,AFTU_65 [A65Ck] AFTU_65_Colobane_kounoune — dir0: Kounoune École Mbaba → Colobane / dir1: Colobane → Kounoune École Mbaba,141,126,COLOBANE - JAXAAY,Sacré-Cœur ↔ Guédiawaye (AFTU Ligne 65),aftu_65,4,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MISMATCH,numéro identique mais 1/2 terminus concordant(s) seulement,MISMATCH,"flux 126 arrêts géolocalisés vs Dakar Bus 4 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,66,AFTU_66 [A66gY] AFTU_66_gorom_Yoff — dir0: Yoff → Terminus 66 Et 79 / dir1: Terminus 66 Et 79 → Yoff,136,204,YOFF - GOROM 1,Mermoz ↔ Thiaroye (AFTU Ligne 66),aftu_66,3,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MATCH,numéro identique et 2/2 terminus concordants (libellés),MISMATCH,"flux 204 arrêts géolocalisés vs Dakar Bus 3 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,67,AFTU_67 [A67Ot] AFTU_67_Ouakam_thiawlene — dir0: Terminus 67 → Ouakam Terminus 67 / dir1: Ouakam Terminus 67 → Terminus 67,115,150,OUAKAM - THIAWLENE RUFISQUE,PEM Petersen ↔ Place de l'Obélisque (AFTU Ligne 67),aftu_67,3,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MATCH,numéro identique et 2/2 terminus concordants (libellés),MISMATCH,"flux 150 arrêts géolocalisés vs Dakar Bus 3 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,68,AFTU_68 [A68st] AFTU_68_sebikotane_tally diallo — dir0: Yeumbeul → Terminus 53 / dir1: Terminus 53 → Yeumbeul,189,130,YEUMBEUL - SEBIKOTANE,Grand Médine ↔ Bargny (AFTU Ligne 68),aftu_68,5,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MATCH,numéro identique et 2/2 terminus concordants (libellés),MISMATCH,"flux 130 arrêts géolocalisés vs Dakar Bus 5 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,69,AFTU_69 [A69Dn] AFTU_69_Diamalaye_namora — dir0: Terminus 69 → Terminus 59-39-69-80 Près De La Plage De Diamalaye / dir1:  → ,126,65,DIAMALAYE - TERMINUS TIVAOUANE PEUL,Yeumbeul ↔ UCAD (AFTU Ligne 69),aftu_69,5,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MISMATCH,numéro identique mais 1/2 terminus concordant(s) seulement,MISMATCH,"flux 65 arrêts géolocalisés vs Dakar Bus 5 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,70,AFTU_70 [A70dd] AFTU_70_darouhane_diaxaye — dir0: Jaxaay 2 En Face Cabinet Médical Matlaboul Chifa I → Serigne Assane Terminus 36 46 70 / dir1: Serigne Assane Terminus 36 46 70 → Jaxaay 2 En Face Cabinet Médical Matlaboul Chifa I,162,111,DAROUKHANE - JAXXAY 2,Pikine ↔ Colobane (AFTU Ligne 70),aftu_70,4,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MATCH,numéro identique et 2/2 terminus concordants (libellés),MISMATCH,"flux 111 arrêts géolocalisés vs Dakar Bus 4 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,71,AFTU_71 [A71cK] AFTU_71_claudel_KEUR MASSAR — dir0: Pharmacie Elimane Aly Drame Keur Massar → Terminus 37 71 / dir1: Terminus 37 71 → Pharmacie Elimane Aly Drame Keur Massar,144,103,KEUR MASSAR - CLAUDEL,Keur Mbaye Fall ↔ Colobane (AFTU Ligne 71),aftu_71,5,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MATCH,numéro identique et 2/2 terminus concordants (libellés),MISMATCH,"flux 103 arrêts géolocalisés vs Dakar Bus 5 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,72,AFTU_72 [A72ks] AFTU_72_kounoune_Guédiawaye — dir0: Pai Terminus 38 → Kounoune École Mbaba / dir1: Kounoune École Mbaba → Pai Terminus 38,157,179,GUEDIAWAYE - KOUNOUNE,Yeumbeul ↔ Fadia (AFTU Ligne 72),aftu_72,4,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MATCH,numéro identique et 2/2 terminus concordants (libellés),MISMATCH,"flux 179 arrêts géolocalisés vs Dakar Bus 4 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,73,AFTU_73 [A73LP] AFTU_73_Lac Rose_POSTE THIAROYE — dir0: Station Ciel Oil → Terminus De La Ligne 73 / dir1: Terminus De La Ligne 73 → Station Ciel Oil,230,155,LAC ROSE - POSTE THIAROYE,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MATCH,numéro identique et 2/2 terminus concordants (libellés),MISSING_IN_DAKAR_BUS,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
AFTU,74,AFTU_74 [A74bS] AFTU_74_bargny_SOCABECK — dir0: Terminus 74 81 → Bargny / dir1: Bargny → Terminus 74 81,152,172,TERMINUS BARGNY (GARE FERROVIAIRE) - TIVAOUNE PEUL,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MISMATCH,numéro identique mais 1/2 terminus concordant(s) seulement,MISSING_IN_DAKAR_BUS,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
AFTU,75,AFTU_75 [A75CM] AFTU_75_Colobane_MALIKA — dir0: Terminus 75 Malika → Colobane / dir1: Colobane → Terminus 75 Malika,134,152,TERMINUS MALIKA (CITE SONATEL) - TERMINUS GARE ROUTIERE COLOBANE,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MATCH,numéro identique et 2/2 terminus concordants (libellés),MISSING_IN_DAKAR_BUS,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
AFTU,76,AFTU_76 [A76AS] AFTU_76_ASSURANCE_SIPRESS — dir0: Onfp Terminus 76 → Terminus 76 / dir1: Terminus 76 → Onfp Terminus 76,150,133,SIPRES - CITE ASSURANCE,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MATCH,numéro identique et 2/2 terminus concordants (libellés),MISSING_IN_DAKAR_BUS,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
AFTU,77,AFTU_77 [A77CL] AFTU_77_CITE TACCO_LIBERTE 5 — dir0: Terminus Liberté 5 → Terminus 77 / dir1: Terminus 77 → Terminus Liberté 5,167,107,RUFISQUE - LIBERTE 5,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MISMATCH,numéro identique mais 1/2 terminus concordant(s) seulement,MISSING_IN_DAKAR_BUS,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
AFTU,78,AFTU_78 [A78DL] AFTU_78_DIAMAGUENE_LIBERTE 5 — dir0: Terminus Liberté 5 → Marche Diamegeune / dir1: Marche Diamegeune → Terminus Liberté 5,140,104,DIAMAGUENE - LIBERTE 5,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MATCH,numéro identique et 2/2 terminus concordants (libellés),MISSING_IN_DAKAR_BUS,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
AFTU,79,AFTU_79 [A79Cg] AFTU_79_CAMBERENE2_gorom — dir0: Terminus 79 87 → Terminus 29 / dir1: Terminus 29 → Terminus 79 87,131,192,SANGALKAM - CAMBERENE,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MISMATCH,numéro identique mais 1/2 terminus concordant(s) seulement,MISSING_IN_DAKAR_BUS,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
AFTU,80,AFTU_80 [A80DD] AFTU_80_DAROU THIOUB_Diamalaye — dir0: Terminus 59-39-69-80 Près De La Plage De Diamalaye → Terminus 80 / dir1: Terminus 80 → Terminus 59-39-69-80 Près De La Plage De Diamalaye,136,207,DIAMALAYE - DAROU THIOUB,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MATCH,numéro identique et 2/2 terminus concordants (libellés),MISSING_IN_DAKAR_BUS,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
AFTU,81,AFTU_81 [A81BT] AFTU_81_BEAUX MARAICHER_TAWFEKH — dir0: Terminus 74 81 → Gare Des Baux MaraîChers / dir1: Gare Des Baux MaraîChers → Terminus 74 81,132,165,BEAUX MARRAICHERS - TIVAOUNE PEUL,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MISMATCH,numéro identique mais 1/2 terminus concordant(s) seulement,MISSING_IN_DAKAR_BUS,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
AFTU,82,AFTU_82 [A82CL] AFTU_82_CITE COMICO_Lat Dior — dir0: Service D'Hygiène → Terminus 43 Yeumbeul Nord / dir1: Terminus 43 Yeumbeul Nord → Garage Lat Dior,136,96,LAT DIOR - COMICO YEUMBEUL,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MATCH,numéro identique et 2/2 terminus concordants (libellés),MISSING_IN_DAKAR_BUS,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
AFTU,83,AFTU_83 [A83AZ] AFTU_83_ARAFAT_ZONE CAPTAGE — dir0: Zone De Captage → Rufisque Ville Devant La Boutique Orange À  Coté De La Mairie / dir1: Sonadis près du Jardin En Face Hôtel De Ville → Zone De Captage,225,181,RUFISQUE ARAFAT- ZONE DE CAPTAGE,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MATCH,numéro identique et 2/2 terminus concordants (libellés),MISSING_IN_DAKAR_BUS,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
AFTU,84,AFTU_84 [A84JU] AFTU_84_Jaxaay_UCAD — dir0: Delafosse Commerce → Jaxaay 2 Pénitence / dir1: Jaxaay 2 Pénitence → Terminus 84_54Derrière Ucad En Face Canal 4,191,148,UCAD - JAXAAY,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MATCH,numéro identique et 2/2 terminus concordants (libellés),MISSING_IN_DAKAR_BUS,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
AFTU,85,AFTU_85 [A85LL] AFTU_85_Lac Rose_LIBERTE5 — dir0: Terminus Liberté 5 → Terminus De La Ligne 73 / dir1: Terminus De La Ligne 73 → Terminus Liberté 5,188,98,BANOBA - LIBERTE 5,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MISMATCH,numéro identique mais 1/2 terminus concordant(s) seulement,MISSING_IN_DAKAR_BUS,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
AFTU,86,AFTU_86 [A86TT] AFTU_86_THIAROYE_TOUBAB DJALAW — dir0: Terminus 86 → Route De Malika En Face Mairie Yeumbel Sud Et Sgbs / dir1: Yeumbeul → Terminus 86,131,131,TOURNALOU BOUNE - TOUBAB DIALAW,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MISMATCH,numéro identique mais 1/2 terminus concordant(s) seulement,MISSING_IN_DAKAR_BUS,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
AFTU,87,AFTU_87 [A87BM] AFTU_87_BAMBIBOR COMICO_MASSALIKOU — dir0: Maristes Terminus 87 → Terminus 79 87 / dir1: Terminus 79 87 → Maristes Terminus 87,100,137,BAMBILOR - MOSQUEE MASSALIKOU DJINANE,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MATCH,numéro identique et 2/2 terminus concordants (libellés),MISSING_IN_DAKAR_BUS,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
